calculo,C. FísICO,C. BiológICO,MecanICO,Servicio social,Literario,Persuasivo,ArtístICO,Musical,valor_amai_normalizado,CARRERA_ACTUAL
0.744906,0.475094,0.510189,0.76,0.339622,0.415094,0.409811,0.414717,0.58,0.256667,ICO
0.9132,0.879829,0.886629,0.919829,0.906629,0.886515,0.899715,0.973257,0.886572,0.423333,ISC
0.92,0.84,0.34,0.52,0.48,0.32,0.3,0.24,0.3,0.71,ISC
0.428873,0.78,0.778732,0.450774,0.856831,0.747605,0.621268,0.959366,0.959366,0.41,LLE
0.708084,0.491916,0.30042,0.656168,0.348084,0.391916,0.48,0.38042,0.583412,0.466667,ICO
0.361345,0.5,0.361345,0.307983,0.693362,0.781345,0.609328,0.610672,0.618655,0.596667,LLE
0.74,0.44,0.5,0.7,0.44,0.34,0.44,0.4,0.52,0.45,ICO
0.625011,0.667517,0.527471,0.61754,0.587517,0.502506,0.532529,0.565011,0.894943,0.48,ISC
0.4,0.46,0.38,0.44,0.64,0.84,0.56,0.56,0.6,0.356667,LLE
0.395235,0.940794,0.769603,0.614441,0.364043,0.476823,0.432852,0.851191,0.861588,0.483333,ISC
0.89786,0.552325,0.434465,0.78,0.39107,0.314465,0.37786,0.476605,0.64893,0.216667,ICO
0.570181,0.670181,0.630181,0.743755,0.723394,0.536968,0.583394,0.713213,0.686787,0.72,ISC
0.74096,0.537119,0.514237,0.78096,0.358079,0.475198,0.304802,0.536158,0.52096,0.38,ICO
0.405955,0.518933,0.478933,0.378933,0.732978,0.66809,0.587022,0.618933,0.707022,0.296667,LLE
0.323459,0.430377,0.466918,0.3,0.530377,0.72,0.610377,0.530377,0.666164,0.766667,LLE
0.490326,0.662137,0.693116,0.68,0.650326,0.656558,0.586884,0.749674,0.733768,0.513333,LIA
0.330806,0.475164,0.356776,0.316776,0.644836,0.770806,0.663224,0.469194,0.752418,0.496667,LLE
0.371598,0.484201,0.387397,0.308402,0.608402,0.728402,0.62,0.568402,0.608402,0.45,LLE
0.88,0.56,0.410464,0.826161,0.410464,0.490464,0.470464,0.313839,0.555697,0.376667,ICO
0.476271,0.699073,0.534418,0.954418,0.448836,0.414418,0.42791,0.616271,0.669763,0.576667,ICO
0.478031,0.487323,0.52874,0.492677,0.581417,0.46,0.512677,0.656062,0.581417,0.336667,LIA
0.48,0.46,0.44,0.38,0.54,0.76,0.5,0.54,0.54,0.403333,LLE
0.757639,0.408819,0.448819,0.684097,0.337639,0.431181,0.451181,0.44,0.577639,0.32,ICO
0.38,0.5,0.52,0.34,0.86,0.62,0.64,0.66,0.7,0.326667,LLE
0.499449,0.738897,0.680551,0.757794,0.737243,0.582206,0.677243,0.76,0.758897,0.453333,LIA
0.88,0.94,0.68,0.94,0.86,0.64,0.78,0.84,0.82,0.35,ISC
0.34,0.428078,0.352312,0.304234,0.651532,0.771922,0.65961,0.516546,0.771922,0.21,LLE
0.603566,0.658811,0.812867,0.732867,0.644755,0.637622,0.757622,0.658811,0.7,0.433333,LIA
0.357813,0.464374,0.408749,0.346562,0.646562,0.757813,0.515626,0.695626,0.724374,0.473333,LLE
0.617807,0.76,0.771227,0.690966,0.737545,0.744386,0.748773,0.784386,0.9,0.506667,LIA
0.895745,0.937376,0.695745,0.934752,0.865248,0.645248,0.787873,0.829503,0.809503,0.44,ISC
0.331119,0.386679,0.5,0.337762,0.697798,0.711119,0.508881,0.613321,0.8,0.57,LLE
0.854133,0.536467,0.443533,0.8094,0.4494,0.36,0.42,0.4294,0.5,0.71,ICO
0.436445,0.503734,0.481867,0.476445,0.474578,0.476445,0.521867,0.474578,0.532711,0.646667,LIA
0.946535,0.52,0.406535,0.793465,0.46693,0.37307,0.473465,0.4,0.553465,0.243333,ICO
0.282615,0.592156,0.442615,0.350458,0.657385,0.658302,0.597385,0.525229,0.709542,0.506667,LLE
0.8,0.74,0.72,0.76,0.76,0.74,0.78,0.72,0.74,0.51,ISC
0.523474,0.48,0.626949,0.605635,0.675212,0.565635,0.578686,0.7,0.733898,0.456667,LIA
0.803498,0.853399,0.626601,0.926798,0.676502,0.596897,0.760197,0.626798,0.766601,0.543333,ISC
0.58,0.76,0.6,0.74,0.72,0.46,0.5,0.54,0.66,0.506667,ISC
0.570246,0.75317,0.6,0.888047,0.798292,0.631462,0.874877,0.746339,0.76,0.313333,LIA
0.347905,0.872693,0.750299,0.567307,0.433416,0.438803,0.415212,0.831496,0.793292,0.406667,ISC
0.919385,0.700142,0.480236,0.740095,0.859574,0.500142,0.479953,0.7,0.660236,0.45,ISC
0.84,0.54,0.46,0.74,0.5,0.4,0.48,0.46,0.6,0.406667,ICO
0.64339,0.698305,0.612203,0.72339,0.767797,0.588814,0.777288,0.575593,0.766102,0.453333,LIA
0.66,0.46,0.42,0.7,0.38,0.34,0.38,0.38,0.56,0.346667,ICO
0.600851,0.539149,0.450335,0.802371,0.390335,0.342371,0.403222,0.499149,0.66152,0.38,ICO
0.7,0.38,0.5,0.76,0.5,0.66,0.62,0.4,0.48,0.503333,LIA
0.664898,0.670204,0.672449,0.62,0.724898,0.655102,0.752856,0.78,0.655102,0.543333,LIA
0.76,0.384507,0.34676,0.737747,0.4,0.390987,0.52676,0.417747,0.597747,0.44,ICO
0.561128,0.784226,0.586482,0.736902,0.684226,0.671549,0.592677,0.855774,0.712677,0.483333,ISC
0.930373,0.52,0.449627,0.765186,0.410373,0.370373,0.430373,0.385186,0.510373,0.656667,ICO
0.491761,0.723523,0.688239,0.727046,0.698807,0.612954,0.638807,0.76,0.743523,0.3,LIA
0.5,0.42,0.28,0.64,0.46,0.22,0.52,0.28,0.46,0.363333,ICO
0.46,0.56,0.44,0.32,0.68,0.78,0.56,0.52,0.72,0.453333,LLE
0.791283,0.588717,0.492478,0.788717,0.5,0.318805,0.366327,0.638629,0.648717,0.523333,ICO
0.8,0.830223,0.8,0.859555,0.846963,0.903704,0.8,0.886963,0.980445,0.453333,ISC
0.92,0.7,0.48,0.74,0.86,0.5,0.48,0.7,0.66,0.653333,ISC
0.4,0.52,0.44,0.38,0.72,0.74,0.56,0.58,0.66,0.463333,LLE
0.318146,0.510927,0.48,0.389073,0.661755,0.729073,0.485464,0.665464,0.743609,0.353333,LLE
0.4,0.54,0.48,0.36,0.8,0.66,0.6,0.52,0.72,0.23,LLE
0.609979,0.559832,0.499621,0.820084,0.639747,0.85019,0.789979,0.439874,0.739916,0.243333,LIA
0.741282,0.386411,0.398718,0.756154,0.343846,0.363846,0.476154,0.538718,0.498718,0.406667,ICO
0.67567,0.64,0.68433,0.62,0.73567,0.63134,0.70433,0.749691,0.652989,0.35,LIA
0.86,0.52,0.48,0.84,0.46,0.46,0.42,0.36,0.56,0.506667,ICO
0.755064,0.506911,0.528885,0.505923,0.567898,0.485923,0.739013,0.84914,0.623949,0.61,LIA
0.5,0.8,0.52,0.94,0.44,0.42,0.7,0.38,0.74,0.42,ICO
0.798009,0.314661,0.385656,0.776335,0.614344,0.398642,0.603665,0.36733,0.51267,0.57,LIA
0.606732,0.600197,0.55307,0.553662,0.679605,0.727127,0.639803,0.640197,0.79307,0.383333,LIA
0.26,0.8,0.52,0.94,0.42,0.4,0.5,0.4,0.54,0.64,ICO
0.78,0.96,0.84,0.92,0.74,0.6,0.68,0.74,0.94,0.43,ISC
0.783237,0.48,0.496763,0.76,0.4,0.249711,0.388093,0.46,0.543237,0.583333,ICO
0.299589,0.365362,0.38227,0.48454,0.441859,0.384951,0.424951,0.356497,0.508454,0.736667,LIA
0.853755,0.646877,0.493755,0.76751,0.4,0.373123,0.433755,0.391858,0.485613,0.606667,ICO
0.647048,0.701204,0.655301,0.636446,0.718796,0.687048,0.835301,0.777651,0.691747,0.58,LIA
0.679346,0.82951,0.779673,0.809837,0.72951,0.64,0.590817,0.800654,0.779673,0.553333,ISC
0.379651,0.476279,0.396279,0.43593,0.64,0.827791,0.56407,0.56,0.60814,0.476667,LLE
0.549143,0.793905,0.683048,0.593523,0.761333,0.746095,0.82,0.75219,0.916952,0.406667,LIA
0.42,0.5,0.48,0.46,0.68,0.78,0.62,0.64,0.72,0.533333,LLE
0.792305,0.84171,0.72171,0.80171,0.837435,0.702565,0.71829,0.74,0.62855,0.42,ISC
0.707752,0.574267,0.367752,0.75101,0.454267,0.296743,0.36,0.418762,0.512248,0.403333,ICO
0.76,0.92,0.84,0.88,0.66,0.5,0.54,0.94,0.84,0.63,ISC
0.44,0.439828,0.459656,0.439828,0.78,0.76,0.540516,0.58,0.818795,0.466667,LLE
0.32,0.48,0.56,0.32,0.7,0.62,0.6,0.64,0.74,0.47,LLE
0.599529,0.738898,0.698898,0.725198,0.718898,0.916064,0.618898,0.903465,0.921733,0.513333,LLE
0.358312,0.44,0.412208,0.321688,0.592208,0.741688,0.587792,0.606104,0.741688,0.693333,LLE
0.44,0.420769,0.421537,0.420769,0.78,0.76,0.597694,0.58,0.68538,0.473333,LLE
0.696147,0.867951,0.808195,0.88844,0.76,0.584098,0.804098,0.843853,0.888195,0.453333,ISC
0.34,0.462186,0.493441,0.346559,0.646559,0.633441,0.464373,0.613441,0.744373,0.48,LLE
0.76,0.9,0.7,0.86,0.6,0.72,0.76,0.52,0.86,0.396667,ISC
0.374173,0.450863,0.405827,0.323309,0.588345,0.696691,0.602518,0.56,0.594173,0.433333,LLE
0.893196,0.586393,0.426393,0.8,0.465982,0.48,0.486393,0.379589,0.513607,0.303333,ICO
0.900067,0.539933,0.419866,0.879799,0.559866,0.379799,0.440201,0.380067,0.58,0.433333,ICO
0.64,0.8,0.812022,0.765318,0.752022,0.622659,0.657341,0.909363,0.846704,0.246667,ISC
0.42,0.78,0.78,0.44,0.86,0.74,0.62,0.96,0.96,0.38,LLE
0.920835,0.566945,0.480835,0.77389,0.44778,0.426945,0.419165,0.333055,0.533055,0.376667,ICO
0.741798,0.698202,0.503596,0.747192,0.607192,0.561798,0.701798,0.678202,0.641798,0.35,ISC
0.884497,0.547752,0.492248,0.752248,0.46,0.436745,0.468994,0.344497,0.615503,0.326667,ICO
0.332516,0.432516,0.422452,0.325032,0.557548,0.745032,0.6,0.570064,0.730064,0.403333,LLE
0.58645,0.373225,0.322042,0.608492,0.371183,0.357633,0.368817,0.455592,0.749141,0.483333,ICO
0.771651,0.909709,0.80136,0.569709,0.678058,0.764466,0.56,0.848349,0.9,0.366667,ISC
0.36,0.487913,0.503957,0.361978,0.623957,0.674065,0.52,0.650108,0.686152,0.606667,LLE
0.88,0.56,0.438983,0.897458,0.438983,0.518983,0.498983,0.242542,0.598475,0.38,ICO
0.56,0.68,0.44,0.28,0.58,0.44,0.42,0.64,0.66,0.406667,LIA
0.753265,0.443368,0.443368,0.63347,0.330103,0.403368,0.526735,0.450103,0.633265,0.443333,ICO
0.378555,0.44,0.425704,0.301445,0.605704,0.721445,0.574296,0.612852,0.721445,0.493333,LLE
0.354019,0.525359,0.525981,0.33134,0.734019,0.654019,0.634019,0.62866,0.72866,0.433333,LLE
0.384382,0.488765,0.44,0.411235,0.72,0.693147,0.56,0.58,0.722471,0.3,LLE
0.528287,0.681142,0.683425,0.72,0.677716,0.593996,0.58,0.751713,0.701142,0.396667,ISC
0.698066,0.43355,0.4,0.784517,0.335483,0.410967,0.4,0.444517,0.617417,0.456667,ICO
0.481429,0.545306,0.473673,0.324898,0.58,0.406327,0.408776,0.561429,0.581429,0.52,LIA
0.309881,0.54,0.430356,0.390356,0.610356,0.770119,0.599763,0.520475,0.679525,0.433333,LLE
0.38,0.48,0.44,0.42,0.72,0.68,0.56,0.58,0.74,0.403333,LLE
0.595178,0.722411,0.628274,0.675178,0.751726,0.653096,0.721041,0.543452,0.774137,0.45,LIA
0.559099,0.787267,0.686366,0.63003,0.784565,0.752733,0.82,0.765465,0.913634,0.4,LIA
0.32,0.48,0.36,0.36,0.7,0.74,0.52,0.62,0.76,0.403333,LLE
0.82,0.86,0.9,0.92,0.92,0.66,0.72,0.8,0.86,0.38,ISC
0.822604,0.579349,0.481953,0.84,0.438698,0.381953,0.461302,0.339349,0.560651,0.583333,ICO
0.498104,0.698104,0.784526,0.810948,0.533578,0.484526,0.671315,0.76,0.717737,0.486667,ISC
0.370455,0.434262,0.455227,0.588579,0.532386,0.475227,0.511421,0.435227,0.52,0.48,LIA
0.72,0.5,0.4,0.7,0.38,0.32,0.46,0.34,0.52,0.66,ICO
0.563497,0.757669,0.6,0.895921,0.799417,0.637086,0.878252,0.755338,0.76,0.536667,LIA
0.653024,0.789395,0.693024,0.695443,0.797581,0.876653,0.735161,0.968186,0.911814,0.506667,LLE
0.74,0.48,0.52,0.76,0.32,0.42,0.4,0.4,0.58,0.61,ICO
0.545543,0.718217,0.721783,0.710891,0.667326,0.687326,0.598217,0.798217,0.811087,0.583333,ISC
0.66,0.64,0.7,0.62,0.72,0.6,0.72,0.64,0.7,0.74,LIA
0.605124,0.76,0.720495,0.754381,0.83901,0.769753,0.799505,0.809753,0.9,0.666667,LIA
0.897569,0.935028,0.787514,0.748674,0.461271,0.642431,0.447403,0.922541,0.686243,0.57,ISC
0.78,0.54,0.36,0.82,0.34,0.38,0.5,0.4,0.58,0.59,ICO
0.92,0.66,0.4,0.78,0.7,0.66,0.94,0.76,0.8,0.636667,LIA
0.742362,0.527717,0.60252,0.587401,0.597322,0.312599,0.45496,0.430079,0.59496,0.403333,ISC
0.878773,0.64,0.612491,0.532491,0.74917,0.57083,0.792924,0.61083,0.612491,0.456667,LIA
0.66,0.36,0.48,0.74,0.4,0.42,0.4,0.48,0.56,0.46,ICO
0.341853,0.608884,0.385558,0.321853,0.758147,0.756295,0.663705,0.496295,0.66,0.313333,LLE
0.668213,0.736928,0.643072,0.59743,0.72257,0.668715,0.811787,0.768715,0.68,0.556667,LIA
0.546602,0.513204,0.566602,0.859903,0.673204,0.340388,0.706214,0.420097,0.666699,0.403333,LIA
0.391324,0.400882,0.425221,0.38,0.554779,0.671324,0.544338,0.554779,0.569559,0.536667,LLE
0.498844,0.630905,0.687437,0.68,0.658844,0.653719,0.592563,0.741156,0.745126,0.57,LIA
0.322415,0.387246,0.510339,0.332754,0.607246,0.667924,0.457585,0.627246,0.782415,0.46,LLE
0.726298,0.387404,0.374807,0.813702,0.34,0.361105,0.467404,0.438895,0.551491,0.596667,ICO
0.717385,0.371307,0.413073,0.612225,0.534771,0.555688,0.646078,0.373922,0.462615,0.506667,LIA
0.434028,0.494028,0.442986,0.474028,0.477014,0.457014,0.5,0.562084,0.488958,0.533333,LIA
0.34,0.5,0.48,0.4,0.7,0.74,0.48,0.66,0.76,0.56,LLE
0.76,0.4974,0.4,0.73548,0.41548,0.36644,0.51808,0.36904,0.54904,0.43,ICO
0.64295,0.64,0.568851,0.62,0.653551,0.751149,0.638251,0.718251,0.701749,0.59,LIA
0.58,0.7,0.58,0.4,0.72,0.56,0.8,0.6,0.78,0.38,LIA
0.887489,0.862468,0.664936,0.937447,0.757532,0.48,0.679915,0.524936,0.6,0.603333,ISC
0.581125,0.386292,0.497528,0.775056,0.35618,0.37618,0.338653,0.558875,0.51618,0.686667,ICO
0.76,0.48,0.32,0.74,0.44,0.44,0.46,0.52,0.52,0.423333,ICO
0.88,0.56,0.4,0.86,0.36,0.38,0.4,0.42,0.62,0.493333,ICO
0.584284,0.757858,0.591432,0.74,0.715716,0.463213,0.506426,0.543213,0.663213,0.556667,ISC
0.88,0.56,0.44,0.9,0.44,0.52,0.5,0.24,0.6,0.636667,ICO
0.602864,0.582864,0.585728,0.524774,0.72,0.676181,0.662864,0.620955,0.814272,0.553333,LIA
0.38273,0.431365,0.351365,0.383174,0.67727,0.72,0.631365,0.608635,0.688635,0.633333,LLE
0.341298,0.499351,0.341947,0.3,0.658053,0.661947,0.658702,0.598702,0.619351,0.21,LLE
0.606512,0.657829,0.806975,0.726975,0.648683,0.635658,0.755658,0.657829,0.7,0.326667,LIA
0.74,0.36,0.3,0.42,0.58,0.42,0.68,0.34,0.44,0.736667,LIA
0.603037,0.708691,0.685654,0.831728,0.723037,0.597382,0.628272,0.674346,0.714346,0.66,ISC
0.754348,0.367174,0.341521,0.785652,0.34,0.341521,0.468695,0.487174,0.641521,0.483333,ICO
0.912291,0.710364,0.5188,0.593491,0.645782,0.426509,0.714218,0.483854,0.729636,0.483333,ISC
0.374789,0.465211,0.351596,0.323193,0.66,0.694789,0.648404,0.6,0.654789,0.41,LLE
0.499482,0.7,0.758447,0.582588,0.64,0.630777,0.560518,0.682071,0.710259,0.64,LIA
0.76,0.6,0.64,0.74,0.62,0.58,0.58,0.64,0.72,0.623333,ISC
0.311987,0.389338,0.429338,0.4,0.58,0.66,0.558676,0.530662,0.68,0.403333,LLE
0.74,0.72,0.58,0.62,0.8,0.6,0.66,0.62,0.86,0.33,LIA
0.802553,0.54,0.388191,0.831277,0.345638,0.38,0.494362,0.4,0.58,0.43,ICO
0.68344,0.44172,0.308599,0.72172,0.33828,0.41656,0.485159,0.36344,0.64172,0.533333,ICO
0.646413,0.433587,0.403544,0.813587,0.510717,0.810043,0.705739,0.389283,0.597891,0.596667,LIA
0.806807,0.886807,0.733613,0.866387,0.767647,0.667227,0.746807,0.707227,0.84042,0.613333,ISC
0.327765,0.668938,0.441173,0.362821,0.796704,0.747765,0.696704,0.524469,0.678352,0.536667,LLE
0.34,0.457161,0.39714,0.34572,0.58572,0.742839,0.60858,0.6,0.76286,0.913333,LLE
0.34,0.46,0.48,0.34,0.62,0.7,0.56,0.42,0.72,0.693333,LLE
0.641261,0.650888,0.555186,0.621261,0.586074,0.512149,0.529112,0.572149,0.889628,0.606667,ISC
0.600681,0.659773,0.818639,0.738639,0.640908,0.639546,0.759546,0.659773,0.7,0.56,LIA
0.78,0.42,0.46,0.74,0.36,0.42,0.44,0.44,0.6,0.613333,ICO
0.58,0.631538,0.518251,0.693286,0.696643,0.46,0.476643,0.493286,0.58993,0.33,ISC
0.386888,0.360332,0.473278,0.426722,0.806556,0.69361,0.593112,0.553444,0.806722,0.446667,LLE
0.92,0.72,0.54,0.58,0.64,0.44,0.72,0.48,0.72,0.74,ISC
0.64,0.72,0.66,0.62,0.7,0.68,0.84,0.78,0.68,0.373333,LIA
0.388759,0.489586,0.48,0.418345,0.627931,0.790414,0.640828,0.608759,0.72,0.793333,LLE
0.74,0.78,0.6,0.54,0.78,0.64,0.74,0.74,0.68,0.316667,LIA
0.693621,0.598272,0.613621,0.76,0.834485,0.676213,0.806379,0.70897,0.773621,0.42,LIA
0.74,0.54,0.52,0.78,0.36,0.48,0.3,0.54,0.52,0.28,ICO
0.652346,0.695307,0.666173,0.62,0.712346,0.667654,0.796788,0.78,0.667654,0.766667,LIA
0.714776,0.419701,0.350149,0.770149,0.394776,0.424925,0.46,0.474776,0.535075,0.623333,ICO
0.72,0.42,0.34,0.66,0.26,0.5,0.44,0.46,0.52,0.273333,ICO
0.287397,0.463699,0.384452,0.327397,0.683699,0.723699,0.52,0.587397,0.784452,0.563333,LLE
0.779531,0.420469,0.440469,0.680235,0.339531,0.459531,0.419061,0.519531,0.639296,0.403333,ICO
0.808298,0.889255,0.882447,0.92,0.86734,0.642447,0.708298,0.782447,0.883404,0.483333,ISC
0.76,0.38,0.52,0.8,0.38,0.36,0.5,0.4,0.6,0.666667,ICO
0.6,0.58,0.58,0.52,0.72,0.68,0.66,0.62,0.82,0.353333,LIA
0.67056,0.64,0.68944,0.62,0.73056,0.621121,0.70944,0.713923,0.668319,0.556667,LIA
0.708727,0.868727,0.891273,0.900509,0.742037,0.551273,0.498982,0.857963,0.881018,0.38,ISC
0.42,0.24,0.36,0.3,0.46,0.22,0.4,0.24,0.26,0.583333,LIA
0.340334,0.617997,0.381002,0.320334,0.759666,0.759332,0.660668,0.499332,0.66,0.43,LLE
0.260572,0.399809,0.480381,0.320191,0.639619,0.580953,0.479809,0.62,0.799809,0.453333,LLE
0.790236,0.347441,0.388929,0.434047,0.468929,0.38,0.381488,0.333394,0.482976,0.503333,LIA
0.601984,0.70799,0.686005,0.829974,0.721984,0.595979,0.630026,0.673995,0.713995,0.43,ISC
0.669433,0.687045,0.6,0.772329,0.781761,0.548806,0.825284,0.61409,0.76,0.716667,LIA
0.38,0.5,0.38,0.28,0.74,0.8,0.6,0.62,0.6,0.433333,LLE
0.557226,0.534451,0.577226,0.875839,0.694451,0.276646,0.78058,0.404161,0.661387,0.57,LIA
0.807731,0.918404,0.784538,0.864538,0.823193,0.683193,0.735462,0.753865,0.898404,0.376667,ISC
0.808015,0.86799,0.63598,0.92402,0.648015,0.639975,0.776005,0.61603,0.779975,0.246667,ISC
0.78,0.6,0.5,0.8,0.5,0.3,0.34,0.68,0.66,0.403333,ICO
0.916575,0.532192,0.435617,0.8,0.503425,0.424383,0.42,0.432192,0.584383,0.406667,ICO
0.669591,0.603441,0.615656,0.790409,0.846968,0.71828,0.817376,0.76,0.775656,0.766667,LIA
0.57615,0.67615,0.60385,0.70385,0.72,0.487699,0.59615,0.72,0.825353,0.363333,ISC
0.614185,0.396123,0.3,0.632247,0.361938,0.376123,0.414185,0.414846,0.716784,0.533333,ICO
0.92,0.72,0.42,0.88,0.66,0.52,0.78,0.62,0.78,0.74,ISC
0.406188,0.497126,0.441437,0.415249,0.466188,0.514252,0.530938,0.46,0.583314,0.403333,LIA
0.902766,0.537234,0.414469,0.871703,0.554469,0.371703,0.448297,0.382766,0.58,0.736667,ICO
0.927483,0.548129,0.423741,0.86,0.395612,0.403741,0.423741,0.396259,0.608129,0.613333,ICO
0.771287,0.541545,0.308713,0.63897,0.380515,0.29794,0.428713,0.35794,0.448713,0.556667,ICO
0.662151,0.644462,0.711236,0.646774,0.717688,0.64,0.713387,0.753226,0.653387,0.403333,LIA
0.700142,0.4,0.36,0.779858,0.38,0.419575,0.46,0.460142,0.539788,0.45,ICO
0.739037,0.439037,0.498074,0.700963,0.44,0.341926,0.44,0.402888,0.523851,0.503333,ICO
0.57799,0.70201,0.58201,0.404689,0.72201,0.564689,0.79866,0.604689,0.78201,0.596667,LIA
0.615233,0.731919,0.68,0.864767,0.742384,0.627151,0.597616,0.677616,0.715233,0.48,ISC
0.685174,0.583359,0.68112,0.626293,0.73888,0.568533,0.745174,0.652587,0.68112,0.71,LIA
0.3,0.5,0.5,0.34,0.54,0.7,0.66,0.56,0.66,0.533333,LLE
0.575246,0.736228,0.604754,0.735246,0.72,0.474263,0.519017,0.582789,0.664754,0.45,ISC
0.58534,0.75733,0.624029,0.73733,0.701311,0.46,0.51068,0.53466,0.65199,0.583333,ISC
0.853718,0.496859,0.476859,0.743141,0.416859,0.410577,0.48,0.476859,0.647436,0.506667,ICO
0.476854,0.580225,0.406742,0.329887,0.613258,0.606292,0.61955,0.540225,0.693258,0.506667,LIA
0.604395,0.662681,0.68756,0.642681,0.702198,0.64756,0.654637,0.77244,0.670242,0.313333,LIA
0.76,0.46,0.42,0.7,0.32,0.44,0.4,0.42,0.62,0.453333,ICO
0.92,0.44,0.3,0.72,0.5,0.26,0.6,0.46,0.76,0.44,ICO
0.55018,0.314303,0.444243,0.491394,0.382909,0.264363,0.367151,0.281454,0.647031,0.48,LIA
0.504516,0.793634,0.620903,0.555441,0.852731,0.747269,0.807269,0.866323,0.829075,0.256667,LLE
0.826957,0.589276,0.484638,0.837681,0.435362,0.377681,0.46,0.335362,0.543766,0.403333,ICO
0.76,0.38,0.34,0.74,0.4,0.4,0.52,0.42,0.6,0.563333,ICO
